file_name,year,kind,page,subject,chapter,title,hits
2009年计算机408统考真题. .pdf,2009,真题,1,操作系统,第5章,I/O管理、缓冲、磁盘调度、设备管理,2
2009年计算机408统考真题. .pdf,2009,真题,2,计算机组成原理,第2章,数据表示与运算,7
2009年计算机408统考真题. .pdf,2009,真题,2,计算机组成原理,第3章,存储系统、Cache、主存、虚拟存储,11
2009年计算机408统考真题. .pdf,2009,真题,2,计算机组成原理,第4章,指令系统、寻址方式、机器级程序,12
2009年计算机408统考真题. .pdf,2009,真题,2,计算机组成原理,第5章,CPU、数据通路、控制器、流水线、中断异常,4
2009年计算机408统考真题. .pdf,2009,真题,3,操作系统,第1章,概述、运行机制、中断/异常、系统调用、引导,1
2009年计算机408统考真题. .pdf,2009,真题,3,操作系统,第2章,进程、线程、处理机调度、同步互斥、死锁,16
2009年计算机408统考真题. .pdf,2009,真题,3,操作系统,第3章,内存管理、页表、虚拟内存、页面置换,3
2009年计算机408统考真题. .pdf,2009,真题,3,操作系统,第4章,文件系统、目录、文件分配、空闲空间管理,3
2009年计算机408统考真题. .pdf,2009,真题,3,操作系统,第5章,I/O管理、缓冲、磁盘调度、设备管理,3
2009年计算机408统考真题. .pdf,2009,真题,3,计算机组成原理,第1章,概述、性能指标、层次结构,1
2009年计算机408统考真题. .pdf,2009,真题,3,计算机组成原理,第2章,数据表示与运算,1
2009年计算机408统考真题. .pdf,2009,真题,3,计算机组成原理,第3章,存储系统、Cache、主存、虚拟存储,5
2009年计算机408统考真题. .pdf,2009,真题,3,计算机组成原理,第4章,指令系统、寻址方式、机器级程序,19
2009年计算机408统考真题. .pdf,2009,真题,3,计算机组成原理,第5章,CPU、数据通路、控制器、流水线、中断异常,6
2009年计算机408统考真题. .pdf,2009,真题,3,计算机组成原理,第6章,总线,5
2009年计算机408统考真题. .pdf,2009,真题,3,计算机组成原理,第7章,输入输出系统、DMA、中断、接口,3
2009年计算机408统考真题. .pdf,2009,真题,4,操作系统,第1章,概述、运行机制、中断/异常、系统调用、引导,1
2009年计算机408统考真题. .pdf,2009,真题,4,操作系统,第3章,内存管理、页表、虚拟内存、页面置换,2
2009年计算机408统考真题. .pdf,2009,真题,4,操作系统,第4章,文件系统、目录、文件分配、空闲空间管理,7
2009年计算机408统考真题. .pdf,2009,真题,4,操作系统,第5章,I/O管理、缓冲、磁盘调度、设备管理,4
2009年计算机408统考真题. .pdf,2009,真题,4,计算机组成原理,第5章,CPU、数据通路、控制器、流水线、中断异常,1
2009年计算机408统考真题. .pdf,2009,真题,4,计算机组成原理,第6章,总线,1
2009年计算机408统考真题. .pdf,2009,真题,4,计算机组成原理,第7章,输入输出系统、DMA、中断、接口,4
2009年计算机408统考真题. .pdf,2009,真题,5,操作系统,第1章,概述、运行机制、中断/异常、系统调用、引导,4
2009年计算机408统考真题. .pdf,2009,真题,5,操作系统,第5章,I/O管理、缓冲、磁盘调度、设备管理,3
2009年计算机408统考真题. .pdf,2009,真题,5,计算机组成原理,第1章,概述、性能指标、层次结构,2
